No,Section,Page,Header,Emoji,English,Sinhala
6403,Characters,Smileys & Emotion,face-smiling,😀,face | grin | grinning face,මුහුණ | සිනහ මුහුණ | සිනහව
6405,Characters,Smileys & Emotion,face-smiling,😃,face | grinning face with big eyes | mouth | open | smile,කට | කට ඇරුණ සිනාසෙන මුහුණ | මුහුණ | විවෘත | සිනහව
6407,Characters,Smileys & Emotion,face-smiling,😄,eye | face | grinning face with smiling eyes | mouth | open | smile,ඇස | කට | කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ | මුහුණ | විවෘත | සිනහව
6409,Characters,Smileys & Emotion,face-smiling,😁,beaming face with smiling eyes | eye | face | grin | smile,ඇස | මුහුණ | සිනහව | සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ
6411,Characters,Smileys & Emotion,face-smiling,😆,face | grinning squinting face | laugh | mouth | satisfied | smile,කට | කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ | කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ | තෘප්තිමත් | මුහුණ | විවෘත | සිනහව
6413,Characters,Smileys & Emotion,face-smiling,😅,cold | face | grinning face with sweat | open | smile | sweat,කට ඇරුණ දහඩිය දමන සිනහ මුහුණ | දහඩිය | මුහුණ | විවෘත | සිනහව | සීතල
6415,Characters,Smileys & Emotion,face-smiling,🤣,face | floor | laugh | rofl | rolling | rolling on the floor laughing | rotfl,පෙරළීම | බිම | බිම පෙරළීමෙන් සිනාසීම | මුහුණ | සිනාසෙනවා
6417,Characters,Smileys & Emotion,face-smiling,😂,face | face with tears of joy | joy | laugh | tear,කඳුළු | මුහුණ | සතුට | සතුටු කඳුළු සහිත මුහුණ | සිනහව
6419,Characters,Smileys & Emotion,face-smiling,🙂,face | slightly smiling face | smile,මුහුණ | යන්තම් සිනාවෙන මුහුණ | සිනහව
6421,Characters,Smileys & Emotion,face-smiling,🙃,face | upside-down,උඩු යටිකුරු | මුහුණ | යටිකුරු වූ මුහුණ
6423,Characters,Smileys & Emotion,face-smiling,🫠,disappear | dissolve | liquid | melt | melting face,අතුරුදහන් වීම | දිය කිරීම | දිය වීම | දිය වෙන මුහුණ | දියර
6425,Characters,Smileys & Emotion,face-smiling,😉,face | wink | winking face,ඇස් ගසන මුහුණ | ඇස් ගැසීම | මුහුණ
6427,Characters,Smileys & Emotion,face-smiling,😊,blush | eye | face | smile | smiling face with smiling eyes,ඇස | මුහුණ | රතු වීම | සිනහව | සිනාසෙන ඇස් සහිිත සිනහ මුහුණ
6429,Characters,Smileys & Emotion,face-smiling,😇,angel | face | fantasy | halo | innocent | smiling face with halo,අහිංසක | රැස් වළල්ල සහිත සිනහ මුහුණ | සුරංගනා කථාව | සුරංගනාවිය | හලෝ
6431,Characters,Smileys & Emotion,face-affection,🥰,adore | crush | hearts | in love | smiling face with hearts,ආදරයෙන් සිටින | කැමති | ගෞරව කරනවා | හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්
6433,Characters,Smileys & Emotion,face-affection,😍,eye | face | love | smile | smiling face with heart-eyes,ආදරය | ඇස | මුහුණ | සිනහව | හදවත | හදවතක හැඩය ගත් ඇස් සහිත සිනහ මුහුණ
6435,Characters,Smileys & Emotion,face-affection,🤩,eyes | face | grinning | star | star-struck,ඇස් | ඇස් වල තරු ඇති සිනාවෙන මුහුණ | තරුව | මුහුණ | සිනාවෙමින්
6437,Characters,Smileys & Emotion,face-affection,😘,face | face blowing a kiss | kiss,මුහුණ | සිප ගැනීමක් ලබා දෙන මුහුණ | හදවත | හාදුව
6439,Characters,Smileys & Emotion,face-affection,😗,face | kiss | kissing face,මුහුණ | සිඹින මුහුණ | හාදුව
6441,Characters,Smileys & Emotion,face-affection,☺,face | outlined | relaxed | smile | smiling face,කැපී පෙනෙන | මුහුණ | සන්සුන් | සිනහ මුුහුණ | සිනහව
6443,Characters,Smileys & Emotion,face-affection,😚,closed | eye | face | kiss | kissing face with closed eyes,ඇස | මුහුණ | වැසුණු | වැසුණු ඇස් සහිත සිඹින මුහුණ | හාදුව
6445,Characters,Smileys & Emotion,face-affection,😙,eye | face | kiss | kissing face with smiling eyes | smile,ඇස | මුහුණ | සිනහව | සිනාසෙන ඇසි සහිත සිඹින මුහුණ | හාදුව
6447,Characters,Smileys & Emotion,face-affection,🥲,grateful | proud | relieved | smiling | smiling face with tear | tear | touched,ආඩම්බර | කඳුළු | කඳුළු වලින් සිනහ මුසු මුහුණ | ප්‍රසන්න | සහන | සිනාසෙමින් | ස්පර්ශ කළා
6449,Characters,Smileys & Emotion,face-tongue,😋,delicious | face | face savoring food | savouring | smile | yum,මුහුණ | යම් | රස | රස ආහාරවලින් පිනා යන | රස ආහාරවලින් පිනා යන මුහුණ | රසවත් | සිනහව
6451,Characters,Smileys & Emotion,face-tongue,😛,face | face with tongue | tongue,දිව | දිව එළියට දැමූ මුහුණ | මුහුණ
6453,Characters,Smileys & Emotion,face-tongue,😜,eye | face | joke | tongue | wink | winking face with tongue,ඇස් ගැසීම | දිව | දිව එළියට දැමූ සහ ඇස් ගසන මුහුණ | දිිව එළියට දැමූ සහ ඇස් ගසන මුහුණ | මුහුණ | විහිළු
6455,Characters,Smileys & Emotion,face-tongue,🤪,eye | goofy | large | small | zany face,ඇස | පිස්සු මුහුණ | පොඩි | ලොකු
6457,Characters,Smileys & Emotion,face-tongue,😝,eye | face | horrible | squinting face with tongue | taste | tongue,ඇස | දිව | දිව එළියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ | දිව එළිියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ | පිළිකුල් | මුහුණ | රසය
6459,Characters,Smileys & Emotion,face-tongue,🤑,face | money | money-mouth face | mouth,කට | කටේ මුදල් රුවා ගත් මුහුණ | මුහුණ | සල්ලි
6461,Characters,Smileys & Emotion,face-hand,🤗,face | hug | hugging | open hands | smiling face | smiling face with open hands,මුහුණ | වැළඳ ගන්නවා | වැළඳ ගන්නා මුහුණ | වැළඳ ගැනීම
6463,Characters,Smileys & Emotion,face-hand,🤭,face with hand over mouth | whoops,අතින් කට වැසුණු මුහුණ | හපොයි
6465,Characters,Smileys & Emotion,face-hand,🫢,amazement | awe | disbelief | embarrass | face with open eyes and hand over mouth | scared | surprise,අවිශ්වාසය | පුදුමය | බය | ලැජ්ජාව | විවෘත ඇස් ඇති සහ අතින් කට වසා ගත් මුහුණ | විස්මය | විස්මයන්
6467,Characters,Smileys & Emotion,face-hand,🫣,captivated | face with peeking eye | peep | stare,ආකර්ශනීය | එබිකම් කරනවා ​ | බලාගෙන ඉන්න | හොරෙන් බලන ඇස් සමඟ මුහුණ
6469,Characters,Smileys & Emotion,face-hand,🤫,quiet | shush | shushing face,නිශ්ශබ්ද | නිශ්ශබ්ද කිරීමේ මුහුණ | නිශ්ශබ්ද වන්න
6471,Characters,Smileys & Emotion,face-hand,🤔,face | thinking,කල්පනා කරන මුහුණ | මුහුණ | සිතීම
6473,Characters,Smileys & Emotion,face-hand,🫡,OK | salute | saluting face | sunny | troops | yes,අව්ව | ආචාර කරන මුහුණ | ආචාර කරන්න | ඔව් | හමුදා | හරි
6475,Characters,Smileys & Emotion,face-neutral-skeptical,🤐,face | mouth | zipper | zipper-mouth face,කට | කටට සිප් එකක් දැමූ මුහුණ | මුහුණ | සිප්
6477,Characters,Smileys & Emotion,face-neutral-skeptical,🤨,distrust | face with raised eyebrow | skeptic,අවිශ්වාසය | ඉහළ ගිය ඇහි බැමි ඇති මුහුණ | සංශයවාදයකි
6479,Characters,Smileys & Emotion,face-neutral-skeptical,😐,deadpan | face | meh | neutral,උදාසීන | මුහුණ | හැඟීම් රහිත
6481,Characters,Smileys & Emotion,face-neutral-skeptical,😑,expressionless | face | inexpressive | meh | unexpressive,භාව ප්‍රකාශන රහිත | මුහුණ | හැඟීමක් පළ නොකරන මුහුණ | හැඟීම් නැති | හැඟීම් රහිත
6483,Characters,Smileys & Emotion,face-neutral-skeptical,😶,face | face without mouth | mouth | quiet | silent,කට | කටක් රහිත මුහුණ | නිශ්ශබ්ද | නිහඬ | මුහුණ
6485,Characters,Smileys & Emotion,face-neutral-skeptical,🫥,depressed | disappear | dotted line face | hide | introvert | invisible,අතුරුදහන් | අදෘශ්‍යමාන | තිත් රේඛා මුහුණ | මානසික ආතතිය | සඟවන්න
6487,Characters,Smileys & Emotion,face-neutral-skeptical,😶‍🌫,absentminded | face in clouds | face in the fog | head in clouds,මීදුමෙහි මුහුණ | වලාකුළුවල මුහුණ | වලාකුළුවල හිස | සිහි කල්පනාව අඩු
6489,Characters,Smileys & Emotion,face-neutral-skeptical,😏,face | smirk | smirking face,නියවන මුහුණ | නියවීම | මුහුණ
6491,Characters,Smileys & Emotion,face-neutral-skeptical,😒,face | unamused | unhappy,අසතුටු | මුහුණ | විනෝදයක් නැති | විනෝදයක් නැති මුහුණ
6493,Characters,Smileys & Emotion,face-neutral-skeptical,🙄,eyeroll | eyes | face | face with rolling eyes | rolling,ඇස් | කරකවන ඇස් ඇති මුහුණ | කරකැවීම | මුහුණ
